     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.002,tesseract-custom,c9f24953bf0336787c7017ab8f790395820d1d8d53759e128adf13b167ff645e,"{""basis"":""X"",""code_key"":""BB_144_12_12"",""code_name"":""BB [[144,12,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0001,""r"":24}",
         1,         0,         0,   0.003,tesseract-custom,c9f24953bf0336787c7017ab8f790395820d1d8d53759e128adf13b167ff645e,"{""basis"":""X"",""code_key"":""BB_144_12_12"",""code_name"":""BB [[144,12,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0001,""r"":24}",
         1,         0,         0,   0.008,tesseract-custom,1d1a092b0803c6af8b63877505d5d8c1ab94a45d51b459b4246cf2eb31aad003,"{""basis"":""X"",""code_key"":""BB_144_12_12"",""code_name"":""BB [[144,12,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":12,""p"":0.00023713737056616554,""r"":24}",
         1,         0,         0,   0.009,tesseract-custom,571d9d2976e6879de83f64d77f42f0a1dd0fff66a24e1739e604e7e1c7de8348,"{""basis"":""X"",""code_key"":""BB_144_12_12"",""code_name"":""BB [[144,12,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0005623413251903491,""r"":24}",
         1,         0,         0,   0.004,tesseract-custom,4d79cbcc5bedd6c10cdd63c0299bbb8a49f7a5124865bd8933f99d26bca6d8fb,"{""basis"":""X"",""code_key"":""AMC_180_6_12_W6"",""code_name"":""AMC [[180,6,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":6,""p"":0.00023713737056616554,""r"":24}",
         1,         0,         0,   0.006,tesseract-custom,1d1a092b0803c6af8b63877505d5d8c1ab94a45d51b459b4246cf2eb31aad003,"{""basis"":""X"",""code_key"":""BB_144_12_12"",""code_name"":""BB [[144,12,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":12,""p"":0.00023713737056616554,""r"":24}",
         1,         0,         0,   0.007,tesseract-custom,68a3782191c8daff0665dbd2b4707972c089570a63edb8ac4da4c39815783f4f,"{""basis"":""X"",""code_key"":""AMC_180_6_12_W6"",""code_name"":""AMC [[180,6,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":24}",
         1,         0,         0,   0.004,tesseract-custom,1d1a092b0803c6af8b63877505d5d8c1ab94a45d51b459b4246cf2eb31aad003,"{""basis"":""X"",""code_key"":""BB_144_12_12"",""code_name"":""BB [[144,12,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":12,""p"":0.00023713737056616554,""r"":24}",
         1,         0,         0,   0.004,tesseract-custom,68a3782191c8daff0665dbd2b4707972c089570a63edb8ac4da4c39815783f4f,"{""basis"":""X"",""code_key"":""AMC_180_6_12_W6"",""code_name"":""AMC [[180,6,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":24}",
         1,         0,         0,   0.005,tesseract-custom,68a3782191c8daff0665dbd2b4707972c089570a63edb8ac4da4c39815783f4f,"{""basis"":""X"",""code_key"":""AMC_180_6_12_W6"",""code_name"":""AMC [[180,6,12]]"",""d"":12,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":24}",
