     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         0,         0,   0.016,tesseract-custom,d73ed507bb1dbebdcb2dbf0ef9094d340267caa42b6ea0e1753cdbd2c6ff7246,"{""basis"":""X"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0001,""r"":16}",
        17,         0,         0,   0.037,tesseract-custom,25407a0215626fdeff2b65190fda6b3a74e3fcff4679e9c27ee6e89fb412703f,"{""basis"":""X"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.007498942093324558,""r"":16}",
       273,         0,         0,   0.045,tesseract-custom,e6e2b31c276888964816cbfe0cf1f1d5ea6b9e24110facc457444ceb7228b57c,"{""basis"":""X"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0005623413251903491,""r"":16}",
      1024,         0,         0,   0.053,tesseract-custom,d73ed507bb1dbebdcb2dbf0ef9094d340267caa42b6ea0e1753cdbd2c6ff7246,"{""basis"":""X"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0001,""r"":16}",
       273,         0,         0,   0.019,tesseract-custom,83af483b5953606d6d4afbdbb353235b9c62bf830d158dd016a52790e31bf65f,"{""basis"":""X"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.00023713737056616554,""r"":12}",
       273,         0,         0,   0.089,tesseract-custom,3e1116c36b75483f79122670a83f43524ff2d1027dc83628fdf37f8910339a94,"{""basis"":""X"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.001333521432163324,""r"":16}",
         1,         0,         0,   0.066,tesseract-custom,58af50e8a32227b7aa1789a89c191e878ceff6b7c9497fdd5b44a6350ac34bea,"{""basis"":""X"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.042169650342858224,""r"":16}",
        17,         0,         0,   0.010,tesseract-custom,577a9fcde64c452b31dd96dc24460fbce40118ebe112aff60964f6bc0a95b5e2,"{""basis"":""X"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0005623413251903491,""r"":12}",
       273,         0,         0,   0.017,tesseract-custom,be2bc8b132b1b9087e741dce0a3a4ce538442ac9ab0b2fa370a48fee24f7c488,"{""basis"":""X"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":12}",
      1024,         0,         0,   0.038,tesseract-custom,83af483b5953606d6d4afbdbb353235b9c62bf830d158dd016a52790e31bf65f,"{""basis"":""X"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.00023713737056616554,""r"":12}",
