     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.001,tesseract-custom,9ca89ebee77dc979b81df441dc2064ac21271eaa63014c740199eb18e93e896d,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0001,""r"":16}",
         1,         0,         0,   0.010,tesseract-custom,d8ca0646fd41be12bebe5459b864947e2888bcadc908f98103deab5a8a5c8f4a,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.01778279410038923,""r"":16}",
       273,         0,         0,   0.019,tesseract-custom,080be8e0b2b10e3f4a65499882fa22668934f1ed9b4000eb5651c5aa982fe5a0,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0005623413251903491,""r"":12}",
       273,         0,         0,   0.030,tesseract-custom,6493ee1b53f9ab5550a46c40cc7e9332a0d6bb62740562febfcb9183c7aed9a9,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.00023713737056616554,""r"":16}",
       272,         0,         0,   0.019,tesseract-custom,9ca89ebee77dc979b81df441dc2064ac21271eaa63014c740199eb18e93e896d,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0001,""r"":16}",
        17,         0,         0,   0.044,tesseract-custom,b9e6b2f4a5382fbfce771a7612e96d4f3e65cab5dad9630568891f525c42867b,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.007498942093324558,""r"":16}",
      1297,         0,         0,   0.039,tesseract-custom,72a19dbeb3a3fef19d70cfdabed6c5613b5eb06c743f28bdfa8efc759cd97628,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":12}",
         1,         0,         0,   0.001,tesseract-custom,21fd3f56c65f9161cff68b8029dbd87b3c59f5daea3ebe6cdf65c8862ea4d382,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.00023713737056616554,""r"":12}",
      1024,         0,         0,   0.031,tesseract-custom,72a19dbeb3a3fef19d70cfdabed6c5613b5eb06c743f28bdfa8efc759cd97628,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0001,""r"":12}",
       273,         0,         0,   0.051,tesseract-custom,1fb688f00cb5a158e9b1d682c1f822b04c1b02d2b568867c410e23f6bc1a92ed,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0005623413251903491,""r"":16}",
      1024,         0,         0,   0.070,tesseract-custom,080be8e0b2b10e3f4a65499882fa22668934f1ed9b4000eb5651c5aa982fe5a0,"{""basis"":""Z"",""code_key"":""TT_72_6_6"",""code_name"":""TT [[72,6,6]]"",""d"":6,""decoder"":""tesseract-custom"",""k"":6,""p"":0.0005623413251903491,""r"":12}",
         1,         0,         0,   0.006,tesseract-custom,4f145b5e50c441108ec2f07cc097299bb3260686643c400570d2cae3e2909ac9,"{""basis"":""Z"",""code_key"":""MM_96_12_8"",""code_name"":""MM [[96,12,8]]"",""d"":8,""decoder"":""tesseract-custom"",""k"":12,""p"":0.0031622776601683794,""r"":16}",
