     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.034,tesseract-custom,f0d10d3123cb08c679b4e933ac7c80213ecaaf04e74746060a51428ea8a70b82,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.0007943282347242813,""r"":16}",
        17,         0,         0,   0.043,tesseract-custom,a2e2803c138ec528e25eaffcbf7ae8cba0a8b2f28f5422621ef6071500c73d84,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.0001,""r"":16}",
         1,         0,         0,   0.025,tesseract-custom,eecd964314bfc6f1d37c2acc0214d1e238633a5c298d5ccbe7c038aca9298d34,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.0007943282347242813,""r"":16}",
         1,         0,         0,   0.012,tesseract-custom,b933d0e676d05f2e55ec27c227d728593b48a132e6aa4f734ec60d14425cebc3,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.00039810717055349735,""r"":16}",
        17,         0,         0,   0.066,tesseract-custom,21efca2ceff2bceb3695fbbfd409c563400754ebe0287daa9ea467e4ec0d95a8,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.0001,""r"":16}",
         1,         0,         0,   0.089,tesseract-custom,c50418412644f944dd32d1d84620880c5f6aa061104f18aff75b4600128bc131,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.001584893192461114,""r"":16}",
        17,         0,         0,   0.122,tesseract-custom,aa94a60e4ded7d59e4003b5a701fc50ea677427591ab72a82e5440fdc6ce9272,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.00019952623149688788,""r"":16}",
         1,         0,         0,   0.061,tesseract-custom,9ef6d10b9f0a0c39daa257987978df3f784e8b2f78ac33f2a17c81212f3c06bb,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.001584893192461114,""r"":16}",
        17,         0,         0,   0.098,tesseract-custom,8bb0e2ff9125e37d548ae69abbed24f743854feb05992924e19140a845c45e72,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.00019952623149688788,""r"":16}",
        17,         0,         0,   0.222,tesseract-custom,8bea384630102eb8c484dd58a99500c8f971ea0a80de1f5b3058385f2e979931,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.00039810717055349735,""r"":16}",
        16,         0,         0,   0.229,tesseract-custom,b933d0e676d05f2e55ec27c227d728593b48a132e6aa4f734ec60d14425cebc3,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.00039810717055349735,""r"":16}",
         4,         0,         0,   0.301,tesseract-custom,c50418412644f944dd32d1d84620880c5f6aa061104f18aff75b4600128bc131,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.001584893192461114,""r"":16}",
         1,         1,         0,   0.378,tesseract-custom,1a8ed2b356cbbadf0ae52ea81285979eec38b4b5972f1eec8d74d2cfcfd6855e,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.0031622776601683794,""r"":16}",
         1,         1,         0,   0.486,tesseract-custom,7ca5b565349cb22e32c21acc19b9a3697095d53bd5146c2dfdf89bd7c8701b8c,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.0031622776601683794,""r"":16}",
        64,         0,         0,   0.415,tesseract-custom,aa94a60e4ded7d59e4003b5a701fc50ea677427591ab72a82e5440fdc6ce9272,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.00019952623149688788,""r"":16}",
       128,         0,         0,   0.432,tesseract-custom,21efca2ceff2bceb3695fbbfd409c563400754ebe0287daa9ea467e4ec0d95a8,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.0001,""r"":16}",
        16,         0,         0,   0.483,tesseract-custom,eecd964314bfc6f1d37c2acc0214d1e238633a5c298d5ccbe7c038aca9298d34,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.0007943282347242813,""r"":16}",
        64,         0,         0,   0.428,tesseract-custom,8bb0e2ff9125e37d548ae69abbed24f743854feb05992924e19140a845c45e72,"{""basis"":""X"",""circuit_type"":""lr"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] LRC"",""d"":8,""k"":6,""n"":144,""p"":0.00019952623149688788,""r"":16}",
        16,         0,         0,   0.531,tesseract-custom,f0d10d3123cb08c679b4e933ac7c80213ecaaf04e74746060a51428ea8a70b82,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.0007943282347242813,""r"":16}",
         1,         1,         0,   0.651,tesseract-custom,6d1d9698f710a258e3386ab9b6fda5c768b507a72282ef84008bec34fe5f51ef,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.1,""r"":16}",
         4,         0,         0,   0.264,tesseract-custom,c50418412644f944dd32d1d84620880c5f6aa061104f18aff75b4600128bc131,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.001584893192461114,""r"":16}",
        32,         0,         0,   0.453,tesseract-custom,8bea384630102eb8c484dd58a99500c8f971ea0a80de1f5b3058385f2e979931,"{""basis"":""X"",""circuit_type"":""LDPC"",""code_key"":""MM_144_6_8_W6"",""code_name"":""MM [[144,6,8]] default"",""d"":8,""k"":6,""n"":144,""p"":0.00039810717055349735,""r"":16}",
