dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
5,94,"[6, 26, 31, 36, 57]",940,10,17,7,8,8,6,6
5,94,"[21, 22, 30, 34, 64]",940,10,11,4,8,8,6,6
5,94,"[37, 47, 78, 86, 93]",940,10,18,6,8,8,6,6
5,94,"[21, 27, 49, 66, 67]",940,10,23,6,8,8,6,6
5,94,"[3, 26, 40, 64, 84]",940,10,20,8,8,8,6,6
5,94,"[10, 15, 23, 37, 45]",940,10,32,12,8,8,6,6
5,94,"[5, 14, 33, 56, 79]",940,10,17,8,8,8,6,6
5,94,"[8, 23, 32, 40, 73]",940,10,26,10,8,8,6,6
5,94,"[3, 34, 58, 68, 77]",940,10,26,7,8,8,6,6
5,94,"[15, 39, 77, 82, 89]",940,10,21,9,8,8,6,6
5,94,"[14, 31, 32, 62, 64]",940,10,9,4,8,8,6,6
5,94,"[1, 7, 11, 58, 61]",940,10,26,10,8,8,6,6
5,94,"[3, 10, 21, 55, 84]",940,10,20,8,8,8,6,6
5,94,"[20, 22, 28, 29, 63]",940,10,37,13,8,8,6,6
5,94,"[3, 10, 15, 62, 63]",940,10,28,10,8,8,6,6
5,94,"[28, 54, 59, 83, 91]",940,10,33,12,8,8,6,6
5,94,"[25, 26, 30, 33, 61]",940,10,20,7,8,8,6,6
5,94,"[7, 17, 45, 47, 79]",940,10,12,6,8,8,6,6
5,94,"[7, 19, 48, 61, 89]",940,10,26,11,8,8,6,6
5,94,"[18, 38, 41, 66, 70]",940,10,19,7,8,8,6,6
5,94,"[4, 35, 74, 79, 85]",940,10,20,9,8,8,6,6
5,94,"[8, 32, 47, 61, 78]",940,10,14,6,8,8,6,6
5,94,"[8, 22, 43, 57, 90]",940,10,22,8,8,8,6,6
5,94,"[5, 6, 8, 10, 52]",940,10,28,8,8,8,6,6
5,94,"[5, 19, 26, 30, 93]",940,10,36,13,8,8,6,6
5,94,"[3, 32, 64, 68, 74]",940,10,25,10,8,8,6,6
5,94,"[8, 20, 61, 68, 77]",940,10,24,11,8,8,6,6
5,94,"[8, 40, 57, 78, 82]",940,10,19,8,8,8,6,6
5,94,"[21, 31, 73, 82, 85]",940,10,11,5,8,8,6,6
5,94,"[22, 49, 65, 85, 93]",940,10,35,12,8,8,6,6
5,94,"[10, 34, 39, 58, 59]",940,10,28,11,8,8,6,6
5,94,"[14, 33, 43, 54, 86]",940,10,27,9,8,8,6,6
5,94,"[16, 49, 51, 56, 92]",940,10,24,8,8,8,6,6
5,94,"[5, 37, 38, 58, 62]",940,10,28,10,8,8,6,6
5,94,"[7, 18, 81, 84, 89]",940,10,19,7,8,8,6,6
5,94,"[12, 17, 25, 49, 85]",940,10,31,13,8,8,6,6
5,94,"[5, 7, 20, 33, 75]",940,10,30,11,8,8,6,6
5,94,"[34, 42, 45, 71, 79]",940,10,19,8,8,8,6,6
5,94,"[14, 60, 61, 77, 87]",940,10,24,9,8,8,6,6
5,94,"[43, 47, 51, 53, 54]",940,10,14,4,8,8,6,6
5,94,"[8, 34, 52, 70, 77]",940,10,17,8,8,8,6,6
5,94,"[15, 40, 52, 67, 88]",940,10,20,7,8,8,6,6
5,94,"[2, 17, 18, 33, 89]",940,10,35,12,8,8,6,6
5,94,"[13, 31, 47, 55, 85]",940,10,20,6,8,8,6,6
5,94,"[2, 5, 11, 27, 76]",940,10,25,11,8,8,6,6
5,94,"[13, 20, 24, 40, 78]",940,10,24,8,8,8,6,6
5,94,"[37, 39, 42, 80, 90]",940,10,34,11,8,8,6,6
5,94,"[19, 25, 59, 62, 66]",940,10,33,13,8,8,6,6
5,94,"[4, 9, 22, 44, 84]",940,10,25,10,8,8,6,6
5,94,"[4, 24, 64, 70, 93]",940,10,23,8,8,8,6,6
