ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
20,"[1, 3, 9, 12]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[4, 5, 10, 15]",120,6,4,4,6,6.0,6,6,6.0,6
20,"[1, 2, 3, 12]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[2, 5, 7, 14]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[9, 10, 12, 16]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[3, 13, 14, 16]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[1, 6, 9, 16]",120,6,8,8,6,6.0,6,6,6.0,6
20,"[3, 4, 16, 19]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[3, 6, 13, 15]",120,6,8,8,6,6.0,6,6,6.0,6
20,"[9, 11, 16, 17]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[6, 9, 12, 13]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[3, 5, 6, 17]",120,6,4,4,6,6.0,6,6,6.0,6
20,"[7, 8, 11, 16]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[4, 13, 14, 19]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[1, 3, 15, 17]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[3, 9, 15, 17]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[5, 8, 9, 18]",120,6,8,8,6,6.0,6,6,6.0,6
20,"[4, 5, 17, 18]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[1, 10, 11, 15]",120,6,4,4,6,6.0,6,6,6.0,6
20,"[1, 12, 15, 16]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[1, 7, 8, 15]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[4, 11, 14, 16]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[1, 15, 17, 18]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[6, 10, 12, 16]",120,12,4,4,6,6.0,6,6,6.0,6
20,"[9, 14, 15, 17]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[13, 14, 18, 19]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[11, 13, 15, 18]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[1, 2, 7, 9]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[2, 4, 7, 12]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[1, 7, 9, 14]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[4, 9, 11, 15]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[1, 6, 13, 19]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[1, 8, 10, 14]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[3, 5, 12, 17]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[4, 7, 14, 17]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[4, 6, 7, 18]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[1, 2, 12, 18]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[6, 7, 13, 19]",120,6,4,4,6,6.0,6,6,6.0,6
20,"[1, 5, 7, 15]",120,6,4,4,6,6.0,6,6,6.0,6
20,"[2, 8, 14, 16]",120,12,5,5,6,6.0,6,6,6.0,6
20,"[2, 4, 11, 15]",120,6,7,7,6,6.0,6,6,6.0,6
20,"[1, 2, 5, 7]",120,6,8,8,6,6.0,6,6,6.0,6
20,"[3, 15, 17, 18]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[6, 8, 14, 19]",120,6,4,4,6,6.0,6,6,6.0,6
20,"[2, 4, 16, 17]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[7, 8, 11, 16]",120,6,5,5,6,6.0,6,6,6.0,6
20,"[2, 7, 8, 14]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[1, 8, 17, 18]",120,6,6,6,6,6.0,6,6,6.0,6
20,"[5, 9, 10, 15]",120,6,4,4,6,6.0,6,6,6.0,6
20,"[13, 15, 18, 19]",120,6,8,8,6,6.0,6,6,6.0,6
