dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
4,26,"[3, 6, 10, 21]",156,6,7,7,6,6,6,6
4,26,"[13, 14, 20, 24]",156,6,6,6,6,6,6,6
4,26,"[8, 11, 15, 16]",156,6,6,6,6,6,6,6
4,26,"[11, 13, 21, 23]",156,6,6,6,6,6,6,6
4,26,"[8, 14, 22, 25]",156,6,6,6,6,6,6,6
4,26,"[7, 9, 16, 24]",156,6,7,7,6,6,6,6
4,26,"[2, 14, 22, 23]",156,6,7,7,6,6,6,6
4,26,"[4, 5, 7, 24]",156,6,7,7,6,6,6,6
4,26,"[2, 14, 15, 19]",156,6,7,7,6,6,6,6
4,26,"[7, 8, 15, 22]",156,6,6,6,6,6,6,6
4,26,"[10, 16, 21, 22]",156,6,5,5,6,6,6,6
4,26,"[4, 13, 16, 18]",156,6,6,6,6,6,6,6
4,26,"[16, 17, 20, 22]",156,6,6,6,6,6,6,6
4,26,"[16, 19, 22, 25]",156,6,10,10,6,6,6,6
4,26,"[4, 5, 11, 17]",156,6,8,8,6,6,6,6
4,26,"[5, 11, 15, 23]",156,6,7,7,6,6,6,6
4,26,"[1, 13, 16, 25]",156,6,4,4,6,6,6,6
4,26,"[8, 13, 17, 22]",156,6,4,4,6,6,6,6
4,26,"[5, 6, 9, 18]",156,6,9,9,6,6,6,6
4,26,"[8, 9, 14, 22]",156,6,6,6,6,6,6,6
4,26,"[2, 11, 20, 23]",156,6,8,8,6,6,6,6
4,26,"[4, 5, 6, 9]",156,6,8,8,6,6,6,6
4,26,"[1, 6, 11, 16]",156,6,7,7,6,6,6,6
4,26,"[7, 10, 11, 21]",156,6,6,6,6,6,6,6
4,26,"[11, 13, 18, 25]",156,6,6,6,6,6,6,6
4,26,"[7, 18, 21, 25]",156,6,9,9,6,6,6,6
4,26,"[7, 11, 16, 23]",156,6,8,8,6,6,6,6
4,26,"[3, 4, 10, 15]",156,6,8,8,6,6,6,6
4,26,"[6, 7, 9, 25]",156,6,8,8,6,6,6,6
4,26,"[9, 20, 23, 24]",156,6,6,6,6,6,6,6
4,26,"[1, 2, 17, 19]",156,6,8,8,6,6,6,6
4,26,"[2, 8, 11, 18]",156,6,5,5,6,6,6,6
4,26,"[15, 16, 17, 21]",156,6,6,6,6,6,6,6
4,26,"[8, 14, 16, 17]",156,6,7,7,6,6,6,6
4,26,"[2, 4, 19, 23]",156,6,8,8,6,6,6,6
4,26,"[5, 6, 14, 21]",156,6,6,6,6,6,6,6
4,26,"[18, 19, 20, 22]",156,6,8,8,6,6,6,6
4,26,"[1, 3, 7, 24]",156,6,6,6,6,6,6,6
4,26,"[4, 9, 13, 20]",156,6,4,4,6,6,6,6
4,26,"[3, 5, 6, 17]",156,6,6,6,6,6,6,6
4,26,"[10, 20, 22, 23]",156,6,6,6,6,6,6,6
4,26,"[8, 9, 15, 20]",156,6,7,7,6,6,6,6
4,26,"[12, 16, 20, 24]",156,12,6,6,6,6,6,6
4,26,"[7, 13, 20, 25]",156,6,4,4,6,6,6,6
4,26,"[2, 19, 21, 22]",156,6,7,7,6,6,6,6
4,26,"[13, 16, 19, 21]",156,6,6,6,6,6,6,6
4,26,"[3, 4, 16, 22]",156,6,6,6,6,6,6,6
4,26,"[1, 2, 6, 24]",156,6,5,5,6,6,6,6
4,26,"[4, 9, 17, 22]",156,6,4,4,6,6,6,6
4,26,"[2, 9, 19, 21]",156,6,7,7,6,6,6,6
4,27,"[1, 3, 7, 14]",162,6,7,7,6,6,6,6
4,27,"[10, 11, 22, 25]",162,6,7,7,6,6,6,6
4,27,"[6, 12, 16, 23]",162,6,8,8,6,6,6,6
4,27,"[4, 8, 24, 25]",162,6,7,7,6,6,6,6
4,27,"[7, 13, 15, 24]",162,6,9,9,6,6,6,6
4,27,"[3, 8, 10, 13]",162,6,8,8,6,6,6,6
4,27,"[5, 6, 17, 22]",162,6,4,4,6,6,6,6
