N_total,l,m,p,r,n,k,dx,dz,wx_mean,wx_median,wx_max,wz_mean,wz_median,wz_max,A,B,C,D,mtx_tag
144,2,2,2,3,144,12,6,6,9.0,9.0,9,9.0,9.0,9,w*x*z^2 + w + y*z,w*x*y*z^2 + w*y*z + x,w*x*z + x*y*z^2 + x,w*x*y*z + w*x*z^2 + 1,N144_2_2_2_3_s48
144,2,2,2,3,144,24,4,4,9.0,9.0,9,9.0,9.0,9,w*x + w*y*z^2 + w*y*z,w*y*z^2 + w*y*z + x*y,x*y*z^2 + x*y*z + 1,w*x*y + x*z^2 + y*z,N144_2_2_2_3_s166
144,2,2,2,3,144,12,8,8,9.0,9.0,9,9.0,9.0,9,w*y*z + x*y*z^2 + x*y,x*y*z + x*z^2 + y,w*x*y*z^2 + w*y + x*z,w*x*y + y*z^2 + z,N144_2_2_2_3_s403
216,2,2,3,3,216,12,8,8,9.0,9.0,9,9.0,9.0,9,w*x*y^2*z^2 + w*x*y*z + w,w*x*y*z + w*y^2 + w*y*z^2,x*y^2 + z^2 + z,w*x + w*y*z + y*z^2,N216_2_2_3_3_s73
216,2,2,3,3,216,12,8,8,9.0,9.0,9,9.0,9.0,9,w*x*y^2*z^2 + w*x*z^2 + w*y^2,x*z + y^2*z^2 + z^2,w*z + x*z^2 + x,w*x*y^2 + w*y*z + w*z^2,N216_2_2_3_3_s181
216,2,2,3,3,216,12,12,12,9.0,9.0,9,9.0,9.0,9,x*y^2 + x*y*z + z,w*x*y*z^2 + w*x*z + w*y^2*z^2,w*x*y^2*z^2 + w*z + x*y*z,w*x*y + w*x*z + y^2*z,N216_2_2_3_3_s264
216,2,2,3,3,216,12,9,9,9.0,9.0,9,9.0,9.0,9,w*x*y + w*x + x*y*z^2,w*y^2*z^2 + w*z^2 + x*z,w*y*z + x*y + x*z,w*x*y^2*z^2 + w*x*z^2 + y^2,N216_2_2_3_3_s303
216,2,2,3,3,216,12,6,6,9.0,9.0,9,9.0,9.0,9,w*x*y^2*z + w*x + y,w*x*y^2*z^2 + w*z^2 + x*y*z^2,y^2*z^2 + y*z^2 + 1,w*x*z^2 + y^2*z^2 + y,N216_2_2_3_3_s350
216,2,2,3,3,216,12,6,6,9.0,9.0,9,9.0,9.0,9,w*x*z^2 + w*x*z + x,w*y^2*z + w*y*z^2 + w*y,w*x*y^2*z^2 + x*y^2 + y^2*z,w*x*y*z + w*y + x*y*z^2,N216_2_2_3_3_s387
216,2,2,3,3,216,12,8,8,9.0,9.0,9,9.0,9.0,9,w*y + w + x*z,w*x*y^2*z^2 + w*z + y^2*z,w*x*z^2 + x*y^2 + y^2*z^2,w*x + w*y^2 + x*y^2*z,N216_2_2_3_3_s410
216,2,2,3,3,216,12,11,11,9.0,9.0,9,9.0,9.0,9,w*z^2 + x*y^2 + x*y,w*x*y^2*z^2 + w*y*z^2 + w*z,x + y^2*z^2 + y*z^2,w*x*y^2*z + x + y*z,N216_2_2_3_3_s442
216,2,2,3,3,216,12,10,10,9.0,9.0,9,9.0,9.0,9,w*z + x + z^2,w*x*y*z + z^2 + 1,w*x*y*z^2 + w*x*y + w*z,w*y*z^2 + y^2*z + y^2,N216_2_2_3_3_s463
288,2,2,2,6,288,24,6,6,9.0,9.0,9,9.0,9.0,9,w*x*z^4 + w*y*z^5 + x*y,w*y + x*y*z^4 + x*z^2,w*x*z^3 + w*y*z^4 + x*y*z^5,w*x*z^4 + w*z^3 + x*z^5,N288_2_2_2_6_s240
288,2,2,3,4,288,12,8,8,9.0,9.0,9,9.0,9.0,9,w*x*y^2*z^2 + w*x*z^2 + x*y,w*x*y^2*z + w*x*y*z + w*z,w*x*y*z^2 + w*z^3 + y^2*z,w*x*y^2*z + w*x*z + x*y,N288_2_2_3_4_s192
288,2,2,3,4,288,12,12,12,9.0,9.0,9,9.0,9.0,9,w*x*y + w*y^2 + w*z,w*y^2 + x*y*z + x,w*y^2*z^3 + y + z^3,w*y^2*z + w*y*z^3 + z^2,N288_2_2_3_4_s380
288,2,2,3,4,288,12,14,14,9.0,9.0,9,9.0,9.0,9,x*y*z^2 + x*z^2 + y^2*z,w*y*z^2 + w + y^2*z^3,w*x*y^2 + y*z^3 + z^3,w*x + y^2*z^3 + y,N288_2_2_3_4_s410
