dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
5,14,"[1, 3, 6, 8, 9]",140,10,8,5,8,8,6,6
5,14,"[1, 2, 6, 8, 13]",140,10,7,4,8,8,6,6
5,14,"[7, 8, 10, 11, 13]",140,10,8,4,8,8,6,6
5,14,"[2, 3, 7, 8, 12]",140,10,7,4,8,8,6,6
5,14,"[3, 5, 6, 10, 12]",140,10,7,6,8,8,6,6
5,14,"[1, 2, 3, 6, 10]",140,10,7,6,8,8,6,6
5,14,"[2, 3, 5, 6, 11]",140,10,7,4,8,8,6,6
5,14,"[1, 4, 7, 10, 11]",140,10,6,4,8,8,6,6
5,14,"[4, 5, 6, 11, 13]",140,10,10,6,8,8,6,6
5,14,"[3, 5, 8, 10, 13]",140,10,10,6,8,8,6,6
5,14,"[1, 5, 6, 9, 10]",140,10,7,4,8,8,6,6
5,14,"[3, 7, 8, 12, 13]",140,10,8,4,8,8,6,6
5,14,"[4, 5, 8, 9, 10]",140,10,6,4,8,8,6,6
5,14,"[1, 3, 9, 11, 13]",140,10,8,4,8,8,6,6
5,14,"[1, 4, 7, 10, 11]",140,10,6,4,8,8,6,6
5,14,"[2, 3, 5, 11, 12]",140,10,8,4,8,8,6,6
5,14,"[3, 4, 6, 7, 13]",140,10,8,4,8,8,6,6
5,14,"[2, 4, 6, 10, 12]",140,20,6,4,8,8,6,6
5,14,"[5, 7, 10, 11, 12]",140,10,8,4,8,8,6,6
5,14,"[1, 2, 5, 6, 11]",140,10,10,6,8,8,6,6
5,14,"[1, 2, 5, 7, 10]",140,10,8,4,8,8,6,6
5,14,"[3, 5, 8, 11, 12]",140,10,7,4,8,8,6,6
5,14,"[4, 6, 8, 9, 10]",140,10,6,4,8,8,6,6
5,14,"[2, 4, 5, 7, 10]",140,10,7,4,8,8,6,6
5,14,"[1, 2, 6, 12, 13]",140,10,6,4,8,8,6,6
5,14,"[5, 7, 8, 10, 13]",140,10,8,4,8,8,6,6
5,14,"[2, 3, 9, 10, 13]",140,10,10,6,8,8,6,6
5,14,"[2, 5, 8, 9, 12]",140,10,7,4,8,8,6,6
5,14,"[1, 2, 6, 7, 9]",140,10,8,4,8,8,6,6
5,14,"[4, 5, 10, 12, 13]",140,10,7,5,8,8,6,6
5,14,"[2, 3, 4, 7, 9]",140,10,8,4,8,8,6,6
5,14,"[3, 6, 9, 10, 13]",140,10,10,6,8,8,6,6
5,14,"[4, 7, 8, 9, 13]",140,10,8,4,8,8,6,6
5,14,"[4, 7, 11, 12, 13]",140,10,8,4,8,8,6,6
5,14,"[4, 5, 7, 9, 12]",140,10,6,4,8,8,6,6
5,14,"[1, 2, 6, 8, 11]",140,10,7,4,8,8,6,6
5,14,"[3, 5, 6, 9, 13]",140,10,9,5,8,8,6,6
5,14,"[1, 4, 6, 10, 12]",140,10,7,4,8,8,6,6
5,14,"[1, 3, 5, 9, 13]",140,10,8,4,8,8,6,6
5,14,"[1, 4, 10, 12, 13]",140,10,7,4,8,8,6,6
5,14,"[2, 4, 5, 9, 11]",140,10,9,4,8,8,6,6
5,14,"[2, 5, 9, 11, 13]",140,10,10,5,8,8,6,6
5,14,"[1, 5, 8, 9, 12]",140,10,9,5,8,8,6,6
