dim,ell,exps,n,k,dx,dz,wx_min,wx_max,wz_min,wz_max
5,86,"[3, 9, 21, 34, 82]",860,10,28,11,8,8,6,6
5,86,"[33, 41, 45, 53, 78]",860,10,8,4,8,8,6,6
5,86,"[19, 23, 55, 58, 81]",860,10,30,11,8,8,6,6
5,86,"[4, 23, 35, 55, 64]",860,10,22,9,8,8,6,6
5,86,"[6, 13, 17, 35, 39]",860,10,24,10,8,8,6,6
5,86,"[11, 12, 36, 71, 82]",860,10,27,9,8,8,6,6
5,86,"[17, 34, 36, 46, 51]",860,10,14,6,8,8,6,6
5,86,"[5, 21, 31, 33, 85]",860,10,28,10,8,8,6,6
5,86,"[11, 31, 42, 43, 78]",860,10,18,6,8,8,6,6
5,86,"[20, 28, 55, 56, 78]",860,10,20,7,8,8,6,6
5,86,"[2, 5, 39, 65, 73]",860,10,16,9,8,8,6,6
5,86,"[21, 27, 41, 48, 56]",860,10,25,10,8,8,6,6
5,86,"[7, 39, 43, 77, 78]",860,10,20,6,8,8,6,6
5,86,"[11, 32, 51, 62, 67]",860,10,16,8,8,8,6,6
5,86,"[6, 16, 31, 66, 80]",860,10,23,8,8,8,6,6
5,86,"[6, 16, 45, 56, 80]",860,10,23,7,8,8,6,6
5,86,"[28, 29, 37, 62, 85]",860,10,20,6,8,8,6,6
5,86,"[17, 22, 42, 70, 84]",860,10,18,7,8,8,6,6
5,86,"[2, 19, 69, 77, 80]",860,10,22,9,8,8,6,6
5,86,"[1, 14, 33, 69, 81]",860,10,35,13,8,8,6,6
5,86,"[1, 22, 32, 71, 82]",860,10,32,12,8,8,6,6
5,86,"[23, 24, 51, 59, 83]",860,10,22,7,8,8,6,6
5,86,"[3, 8, 14, 24, 34]",860,10,23,9,8,8,6,6
5,86,"[1, 17, 61, 63, 75]",860,10,28,11,8,8,6,6
5,86,"[6, 21, 27, 45, 79]",860,10,22,10,8,8,6,6
5,86,"[15, 28, 31, 77, 80]",860,10,21,10,8,8,6,6
5,86,"[32, 41, 75, 84, 85]",860,10,20,8,8,8,6,6
5,86,"[11, 16, 58, 68, 81]",860,10,29,10,8,8,6,6
5,86,"[20, 23, 49, 55, 64]",860,10,36,12,8,8,6,6
5,86,"[13, 26, 37, 62, 68]",860,10,20,7,8,8,6,6
5,86,"[26, 35, 76, 77, 78]",860,10,18,9,8,8,6,6
5,86,"[3, 42, 50, 54, 83]",860,10,18,6,8,8,6,6
5,86,"[33, 48, 66, 69, 70]",860,10,19,7,8,8,6,6
5,86,"[4, 9, 28, 77, 78]",860,10,20,6,8,8,6,6
5,86,"[5, 28, 33, 59, 72]",860,10,25,8,8,8,6,6
5,86,"[21, 37, 50, 53, 73]",860,10,25,10,8,8,6,6
5,86,"[1, 4, 6, 19, 69]",860,10,24,11,8,8,6,6
5,86,"[7, 14, 44, 45, 63]",860,10,18,9,8,8,6,6
5,86,"[6, 20, 48, 59, 75]",860,10,22,9,8,8,6,6
5,86,"[9, 52, 53, 75, 83]",860,10,29,11,8,8,6,6
5,86,"[1, 28, 42, 46, 47]",860,10,18,9,8,8,6,6
5,86,"[50, 53, 80, 81, 85]",860,10,27,12,8,8,6,6
5,86,"[26, 32, 48, 49, 81]",860,10,22,10,8,8,6,6
5,86,"[3, 21, 56, 82, 85]",860,10,25,8,8,8,6,6
5,86,"[6, 11, 27, 44, 64]",860,10,17,7,8,8,6,6
5,86,"[43, 62, 65, 75, 84]",860,10,16,6,8,8,6,6
5,86,"[6, 20, 61, 71, 81]",860,10,13,7,8,8,6,6
5,86,"[3, 15, 45, 66, 77]",860,10,24,9,8,8,6,6
5,86,"[3, 9, 44, 61, 79]",860,10,33,13,8,8,6,6
5,86,"[14, 26, 29, 42, 61]",860,10,26,10,8,8,6,6
5,87,"[14, 25, 38, 51, 75]",870,10,18,9,8,8,6,6
5,87,"[3, 32, 37, 45, 62]",870,10,24,9,8,8,6,6
5,87,"[16, 47, 56, 57, 76]",870,10,27,11,8,8,6,6
5,87,"[4, 54, 61, 62, 65]",870,10,21,9,8,8,6,6
5,87,"[14, 23, 34, 49, 86]",870,10,27,11,8,8,6,6
5,87,"[1, 31, 41, 47, 61]",870,10,25,10,8,8,6,6
5,87,"[10, 14, 18, 40, 78]",870,10,30,11,8,8,6,6
5,87,"[1, 19, 23, 42, 45]",870,10,13,5,8,8,6,6
5,87,"[4, 19, 40, 83, 85]",870,10,16,5,8,8,6,6
5,87,"[14, 17, 22, 32, 44]",870,10,33,11,8,8,6,6
5,87,"[1, 31, 42, 68, 85]",870,10,28,9,8,8,6,6
5,87,"[7, 14, 50, 53, 81]",870,10,27,10,8,8,6,6
5,87,"[10, 28, 40, 50, 68]",870,10,18,8,8,8,6,6
5,87,"[4, 20, 25, 35, 39]",870,10,31,11,8,8,6,6
5,87,"[8, 34, 49, 56, 71]",870,10,27,10,8,8,6,6
5,87,"[13, 30, 48, 77, 84]",870,10,23,9,8,8,6,6
5,87,"[31, 53, 57, 70, 71]",870,10,29,10,8,8,6,6
5,87,"[37, 65, 74, 76, 79]",870,10,18,8,8,8,6,6
5,87,"[5, 10, 14, 29, 46]",870,10,18,7,8,8,6,6
5,87,"[5, 18, 26, 72, 73]",870,10,39,14,8,8,6,6
5,87,"[2, 19, 24, 58, 86]",870,10,24,9,8,8,6,6
5,87,"[4, 18, 23, 42, 67]",870,10,24,10,8,8,6,6
5,87,"[22, 44, 47, 67, 73]",870,10,24,9,8,8,6,6
5,87,"[9, 16, 55, 62, 83]",870,10,16,7,8,8,6,6
5,87,"[4, 10, 32, 33, 64]",870,10,23,8,8,8,6,6
5,87,"[7, 12, 16, 46, 61]",870,10,37,13,8,8,6,6
5,87,"[16, 20, 40, 46, 53]",870,10,21,10,8,8,6,6
5,87,"[22, 26, 32, 35, 58]",870,10,12,6,8,8,6,6
5,87,"[29, 31, 52, 70, 85]",870,10,15,6,8,8,6,6
5,87,"[6, 30, 31, 43, 73]",870,10,24,9,8,8,6,6
5,87,"[22, 55, 60, 61, 86]",870,10,21,9,8,8,6,6
5,87,"[6, 32, 35, 42, 48]",870,10,18,8,8,8,6,6
5,87,"[4, 31, 32, 58, 69]",870,10,29,9,8,8,6,6
5,87,"[38, 45, 55, 66, 75]",870,10,31,9,8,8,6,6
5,87,"[28, 48, 55, 59, 61]",870,10,24,9,8,8,6,6
5,87,"[9, 13, 24, 33, 77]",870,10,28,10,8,8,6,6
5,87,"[13, 27, 63, 70, 71]",870,10,29,13,8,8,6,6
5,87,"[28, 30, 49, 53, 80]",870,10,24,11,8,8,6,6
5,87,"[11, 13, 34, 45, 86]",870,10,26,11,8,8,6,6
5,87,"[43, 46, 57, 73, 76]",870,10,18,8,8,8,6,6
5,87,"[14, 40, 63, 70, 71]",870,10,21,9,8,8,6,6
5,87,"[3, 7, 38, 76, 84]",870,10,19,6,8,8,6,6
5,87,"[1, 7, 39, 40, 72]",870,10,17,7,8,8,6,6
5,87,"[2, 7, 27, 51, 73]",870,10,24,10,8,8,6,6
5,87,"[7, 37, 41, 68, 85]",870,10,30,10,8,8,6,6
5,87,"[5, 14, 45, 54, 70]",870,10,20,9,8,8,6,6
