ell,exps,n,k,dx,dz,wx_min,wx_median,wx_max,wz_min,wz_median,wz_max
21,"[1, 4, 16, 19]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[4, 10, 11, 13]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[5, 7, 11, 13]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[2, 5, 9, 16]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[10, 11, 12, 14]",126,6,5,5,6,6.0,6,6,6.0,6
21,"[10, 12, 15, 16]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[3, 5, 16, 20]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[2, 4, 7, 14]",126,6,3,3,6,6.0,6,6,6.0,6
21,"[1, 5, 12, 15]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[10, 16, 19, 20]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[8, 9, 13, 18]",126,6,5,5,6,6.0,6,6,6.0,6
21,"[1, 8, 11, 18]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[3, 5, 12, 17]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[5, 7, 11, 15]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[11, 12, 15, 20]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[3, 13, 15, 17]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[4, 14, 18, 20]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[4, 7, 12, 13]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[8, 9, 10, 18]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[1, 11, 17, 20]",126,6,5,5,6,6.0,6,6,6.0,6
21,"[2, 4, 8, 9]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[2, 4, 5, 16]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[5, 7, 16, 19]",126,6,5,5,6,6.0,6,6,6.0,6
21,"[2, 3, 4, 16]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[2, 6, 8, 9]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[6, 7, 16, 17]",126,6,9,9,6,6.0,6,6,6.0,6
21,"[1, 5, 16, 18]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[5, 17, 18, 20]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[2, 7, 12, 17]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[2, 5, 8, 10]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[4, 8, 12, 17]",126,6,4,4,6,6.0,6,6,6.0,6
21,"[1, 10, 12, 15]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[5, 11, 18, 20]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[2, 5, 7, 13]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[2, 7, 14, 20]",126,6,3,3,6,6.0,6,6,6.0,6
21,"[6, 7, 12, 13]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[9, 14, 16, 17]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[1, 7, 15, 17]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[1, 3, 10, 14]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[6, 16, 17, 18]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[9, 10, 18, 20]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[2, 13, 16, 19]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[3, 7, 13, 17]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[3, 12, 17, 20]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[5, 9, 10, 18]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[4, 5, 6, 8]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[5, 15, 17, 18]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[2, 5, 9, 18]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[4, 17, 18, 20]",126,6,5,5,6,6.0,6,6,6.0,6
21,"[2, 4, 10, 14]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[5, 12, 13, 15]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[4, 5, 6, 8]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[1, 15, 17, 20]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[2, 4, 17, 19]",126,6,4,4,6,6.0,6,6,6.0,6
21,"[8, 11, 14, 18]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[1, 2, 3, 18]",126,6,5,5,6,6.0,6,6,6.0,6
21,"[7, 9, 16, 18]",126,6,6,6,6,6.0,6,6,6.0,6
21,"[4, 7, 8, 16]",126,6,7,7,6,6.0,6,6,6.0,6
21,"[7, 13, 15, 17]",126,6,6,6,6,6.0,6,6,6.0,6
